"","Adjusted"
"1",101.113332333333
"2",102.033332666667
"3",103.863334666667
"4",104.153333
"5",100.089999
"6",98.3466693333333
"7",97.3833313333333
"8",94.0899986666667
"9",88.5
"10",96.533333
"11",102.170000666667
"12",94.6533333333333
"13",99.266665
"14",101.250002666667
"15",107.483332666667
"16",105.306668666667
"17",109.970001333333
"18",110.589999
"19",123.169998
"20",134.583333333333
"21",132.273335666667
"22",132.203333666667
"23",123.296666333333
"24",123.596666666667
"25",115.156667333333
"26",112.643333333333
"27",115.673332
"28",137.629999666667
"29",148.773336
"30",164.819997
"31",164.343333
"32",164.959996666667
"33",159.883331666667
"34",154.593333
"35",161.146667666667
"36",165.636667666667
"37",180.490000666667
"38",187.076670333333
"39",187.210001666667
"40",201.090001333333
"41",225.866663666667
"42",244.570002
"43",240.123331666667
"44",245.123331666667
"45",283.326670333333
"46",294.153330333333
"47",323.429993
"48",243.056666
"49",261.260009666667
"50",265.663330333333
"51",268.483327333333
"52",276.796671333333
"53",293.733327
"54",316.046671666667
"55",348.893331
"56",346.583323
"57",333.636668
"58",350.016662666667
"59",328.253326666667
"60",318.813334
"61",362.073333666667
"62",378.776662333333
"63",390.366658666667
"64",394.920003
"65",408.390004333333
"66",412.813344333333
"67",418.679992666667
"68",428.579996666667
"69",444.610005666667
"70",446.970001
"71",456.873332
"72",465.356669333333
"73",464.839996333333
"74",450.559997666667
"75",465.486663666667
"76",461.769999
"77",486.173339666667
"78",530.953348666667
"79",569.449992
"80",600.933329333333
"81",640.650004333333
"82",664.639994333333
"83",659.756673
"84",734.343343333333
"85",778.033325
"86",844.920023666667
"87",933.686666
"88",946.816670666667
"89",1043.78999833333
"90",1112.13663733333
"91",1031.653361
"92",1163.843343
"93",1268.113322
"94",1336.57666033333
"95",1310.613322
"96",1407.03002933333
"97",1419.819987
"98",1442.54333533333
"99",1461.67334
"100",1354.876668
"101",1255.42663566667
"102",1243.21997066667
"103",1128.58329233333
"104",1115.76997866667
"105",1128.10664866667
"106",1044.62668866667
"107",880.990010333333
"108",900.630005
"109",848.343343
"110",951.670003333333
"111",998.096659666667
"112",1073.60998533333
"113",1134.09330233333
"114",1122.940023
"115",1106.846639
"116",1171.97998033333
"117",1188.486654
"118",1179.89331066667
"119",1227.77335633333
"120",1234.92667633333
"121",1285.20332833333
"122",1283.63330066667
"123",1305.44331866667
"124",1398.956665
"125",1421.973307
"126",1505.44665533333
"127",1485.33667
"128",1499.62666833333
"129",1343.96000166667
"130",1355.32332366667
"131",1238.85664866667
"132",922.746663333333
"133",786.280009
"134",903.756673333333
"135",1021.72664366667
"136",1082.30664066667
"137",1115.930013
"138",1102.26997866667
"139",1097.37662766667
"140",1207.15002466667
"141",1313.05664066667
"142",1343.14998366667
"143",1214.196696
"144",1252.61999533333
"145",1362.18668633333
"146",1356.800008
"147",1408.85664866667
"148",1418.17667633333
"149",1527.32666
"150",1611.52998833333
"151",1666.75
"152",1803.57002766667
"153",1838.12662766667
"154",1922.58329233333
"155",1968.77669266667
"156",2048.17000333333
"157",2055.79329433333
"158",2085.33667
"159",1998.68339033333
"160",2067.90332
"161",1977.40332
"162",2087.03670233333
"163",2170.940023
"164",2187.930013
"165",2335.07666033333
"166",2406.46997066667
"167",2487.10335266667
"168",2611.236735
"169",2726.17008466667
"170",2690.56339533333
"171",2877.26334633333
"172",2659.58667
"173",2774.32999666667
