"province","HP"
"北京市",31503.0188888889
"天津市",13960.3972222221
"河北省",7135.79055555561
"山西省",5699.33333333326
"内蒙古自治区",4525.30750000005
"辽宁省",6476.04027777771
"吉林省",5965.32666666666
"黑龙江省",5956.88749999995
"上海市",26270.7005555551
"江苏省",9229.04027777771
"浙江省",13075.1219444444
"安徽省",6298.43444444449
"福建省",10277.5283333334
"江西省",6372.11611111113
"山东省",6388.8075
"河南省",5319.99888888886
"湖北省",7333.77055555559
"湖南省",4925.12027777772
"广东省",11665.7274999998
"广西壮族自治区",5671.71972222219
"海南省",11003.1661111112
"重庆市",6361.44999999995
"四川省",6104.02583333332
"贵州省",4215.2761111111
"云南省",5829.89416666667
"西藏自治区",5703.14138888894
"陕西省",6354.37472222222
"甘肃省",5599.97222222213
"青海省",5459.06083333329
"宁夏回族自治区",4434.0236111111
"新疆维吾尔自治区",4892.97000000003
